family,sciname,common,Description from https://biogeodb.stri.si.edu/caribbean/en/pages,Compressed? (from description)
Acanthuridae,Acanthurus chirurgus,Doctorfish,"Acanthurus chirurgus (Bloch, 1787)

Doctorfish

Body a deep, strongly compressed oval; head profile steep; eye high on side of  head; mouth small, protrusible, low on head; teeth on jaws fixed, with flattened, notched tips, 18 on top jaw, 20 on lower; gill rakers 16-19; dorsal fin IX, 24-25, not very high, no notch after spines; anal fin III, 21-23; pectoral rays 16-17; pelvic fin I, 5; a single depressible spine fits into a groove on the side of the base of the tail; tail fin edge almost straight to slightly concave, with blunt tips.

Grey-brown body and fins; body with 8-12 narrow dark bars; tail with pale bar across base, but without a narrow whitish rear margin.

Reaches 34 cm; up to at least 11 years.

Found on reefs and in nearby seagrass beds.

Depth range: 0-100 m.

Massachusetts to Brazil; also the central Atlantic island of Ascension.",strongly compressed oval
Acanthuridae,Acanthurus coeruleus,Blue tang,"Acanthurus coeruleus Bloch & Schneider, 1801

Blue tang surgeonfish

Body a deep, strongly compressed oval; head profile steep; eye high on side of  head; mouth small, protrusible, low on head; teeth on jaws fixed, with flattened, notched tips, 18 on top jaw, 20 on lower; gill rakers 13-14; dorsal fin IX, 26-28, not very high, no notch after spines; anal fin III, 24-26; pectoral rays 16-17; pelvic fin I, 5; a single depressible spine fits into a groove on the side of the base of the tail; tail fin edge concave, with sharp tips.

Adults blue, sometimes with thin wavy lines along sides; juveniles blue, or yellow, or blue with a yellow tail.

Reaches 36 cm; up to at least 22 years.

Found on reefs and in nearby seagrass beds.

Depth range: 0-71 m.

Massachusetts to Brazil; also the central Atlantic islands of Ascension and St Helena.",strongly compressed oval
Balistidae,Balistes vetula,Queen triggerfish,"Balistes vetula Linnaeus, 1758

Queen triggerfish

Body oblong, relatively deep, robust, compressed; cheeks without longitudinal grooves; a distinct groove before eye and below nostril; a small mouth that opens at the front, with powerful jaws and 8 heavy, outer teeth on the upper and lower jaws; side teeth notched, longer and pointed in center; gill opening a short slit on side before pectoral base; dorsal fin III (1st can be locked erect, 2nd > ½ the size of 1st), + 29-31; anal rays 27-28; anterior rays of second dorsal and anal fins distinctly longer than posterior rays, those of 2nd dorsal long and pointed;  pectoral rays 13-15; most rays of dorsal, anal and pectoral fins branched; tail base compressed, without spines, tubercles or ridges; tail fin doubly concave, with prolonged lobes; pelvic fins externally reduced to 4 pairs of large scales encasing end of pelvis; thick leathery skin, with regularly arranged diagonal scale plates; snout completely scaled; a group of large, partly separated bony scales that form a thick membrane immediately behind gill opening; scales without keels; lateral line inconspicuous.

Purple to green to yellowish to brown; lower head & chest yellow; 2 oblique bright blue lines on cheek; fine blue lines with yellow borders radiating from eye; tail base with blue bar; dorsal, anal and tail fins edged in blue. Juvenile: grey brown, blue oblique lines across lower head; dashed oblique black lines on body.

Size: attains a length of 50 cm, IGFA record 2.4 kg.

Inhabits rocky and coral reefs, and in adjacent sand and grassbeds.

Depth: 0-275 m.

Both sides of the Atlantic in tropical and temperate areas; Massachusetts to Brazil.",compressed
Balistidae,Canthidermis sufflamen,Ocean triggerfish,"Canthidermis sufflamen (Mitchill, 1815)

Ocean triggerfish

Body relatively deep, depth 47-63% of SL in adults, robust, compressed; cheeks without longitudinal grooves; a distinct groove before eye and below nostril; mouth small, opens at the front, with powerful jaws and 8 heavy, outer teeth on the upper and lower jaws; teeth uneven in size, notched, center teeth not larger and pointed; gill opening a short slit on side before pectoral base; dorsal fin III (1st can be locked erect, 2nd > ½ the size of 1st) + 26-27; anal rays 23-25; pectoral fin 15-16; soft dorsal and anal fins long and curved, the anterior rays well elevated, much longer than posterior rays; most rays of dorsal, anal and pectoral fins branched; tail base compressed, without spines, tubercles or ridges; tail fin double concave, rounded in juveniles; pelvic fins externally reduced to 4 pairs of large scales encasing end of pelvis; thick leathery skin, with regularly arranged diagonal scale plates; snout without scales; no patch of enlarged scales immediately behind gill opening; lateral line inconspicuous.

Grey to brownish grey, a large dark blotch at pectoral base.

Size: grows to 65 cm.

Habitat: usually around dropoffs of clearwater offshore reefs.

Depth: 5-300 m.

Massachusetts to Brazil.",compressed
Balistidae,Melichthys niger,Black durgon,"Melichthys niger (Bloch, 1786)

Black durgon, Black triggerfish

Body an elongate oval, robust, compressed; cheeks without longitudinal grooves; distinct groove before eye and below nostril; mouth small, opens a little above center line, with powerful jaws and 8 heavy, outer teeth on the upper and lower jaws, teeth about even in size, not notched; gill opening a short slit on side before pectoral base; dorsal fin III (1st can be locked erect, 2nd > ½ the size of 1st) + 30-35; anal rays 28-31; anterior rays of second dorsal and anal fins moderately elevated, much longer than posterior rays; pectoral rays 15-17; most rays of dorsal, anal and pectoral fins branched; 8-10 lateral ridges on rear of body and tail base formed by scales with low ridges; caudal fin moderately to strongly concave; pelvic fins externally reduced to 4 pairs of large scales encasing end of pelvis; thick leathery skin, with regularly arranged diagonal scale plates; snout completely scaled; a patch of enlarged scales immediately behind gill opening; lateral line inconspicuous.

Black to blue-black body and fins, with a pale blue-white line along the base of the dorsal and anal fins; front of head may be yellowish; thin blue lines radiating dorsally and anteriorly from eye.

Size: reaches 50 cm.

Inhabits rocky reefs and coral areas.

Depth: 0-406 m.

Circumtropical; Bermuda to Brazil.",compressed
Bothidae,Bothus lunatus,Peacock flounder,"Bothus lunatus (Linnaeus, 1758)

Peacock flounder

Body a deep oval, its depth 54-59% of SL; front profile with distinct notch before lower eye; space between eyes flat and much wider than eye (especially in male), lower eye well before upper, front edge of upper over rear edge of lower; eye diameter <23% of head length and shorter than snout; eyes with poorly developed tentacles in adult; mouth small, ends under front half of eye; teeth small, on both sides of both jaws; 8-10 (usually 9) lower gill rakers; dorsal rays 91-99; anal rays 70-76; pectoral rays not branched, eye-side fin 11-12, upper rays not greatly elongate in male; eye-side pelvic fin with origin under lower eye, with much longer base, situated on body midline, its origin before that of blind-side fin; lateral-line scales 83-95; lateral line on eye side only, strongly arched above the pectoral, no branch under lower eye.

Brown with numerous variable-sized blue curved spots and rings on eye side; 3 dark blotches along lateral line; large fish with dark bars on eye side pectoral.

Size: reaches 45 cm.

Habitat: seagrass and mangroves, sandy bottoms, also on rock and coral.

Depth: 0-120 m.

North Carolina to Brazil and Ascension Is & the tropical E Atlantic.",
Carangidae,Carangoides bartholomaei,Yellow jack,"Caranx bartholomaei (Cuvier in Cuvier & Valenciennes, 1833)

Yellow jack

Body elongate, moderately deep, moderately compressed in adults; top jaw not reaching under eye; both jaws with a band of small simple teeth; 18-21 lower gill rakers; pectoral fins longer than head; dorsal fin (VII + I, 25-28); anal fin (II+I, 21-24); front lobes of both dorsal and anal fins slightly raised; no finlets after 2nd dorsal and anal fins; tail base slender; tail strongly forked; straight rear part (but not curved front part) of lateral line with 25-28 scutes (large, hard spiny scales); tail base with a pair of keels on each side.

Silvery, with a yellow cast; fins yellow; juvenile with a dark bar through eye to mouth.

Reaches 100 cm.

Found around the edges of reefs and over soft and seagrass bottoms; juveniles in mangroves.

Depth range: 0-93 m.

Massachusetts to Brazil. Also in the Gulf of Guinea, W Africa.",moderately compressed in adults
Carangidae,Caranx latus,Horse-Eye jack,"Caranx latus Agassiz in Spix & Agassiz, 1831

Horse-eye jack

Body moderately compressed in adults; eye large; top jaw reaching to under rear edge of eye; top jaw with an outer row of strong canines and an inner band of fine teeth; lower jaw with one row of teeth; 16-18 lower gill rakers; margin of body at rear of gill chamber without papillae; pectoral fins longer than head; dorsal (VIII + I, 19-22) and anal (II+I, 16-18), front lobes of both fins distinctly raised; no finlets after 2nd dorsal and anal fins; tail base slender; tail strongly forked; straight rear part (but not curved front part) of lateral line with 32-39 scutes (large, hard spiny scales); tail base with a pair of keels on each side.

Body dark blue to bluish-grey above, silvery white to golden below; dorsal fin lobe black; rear lateral-line scutes may be dark to black; tail fin yellow; sometimes an indistinct dark spot on the corner of the operculum, and a dark smudge on the lower pectoral fin; juveniles with ~5 dark bars on body.

Reaches 101 cm, 13.4 kg.

Over soft and seagrass bottoms, also round reefs; in brackish water and enters freshwater.

Depth range: 0-151 m.

Both sides of the Atlantic; New Jersey to central Brazil.",moderately compressed in adults
Carangidae,Seriola dumerili,Greater amberjack,"Seriola dumerili (Risso, 1810)

Greater amberjack

Elongate, fusiform, compressed; snout long, pointed; bone on top of rear of top jaw broad, with rounded tip, reaching to under middle of eye; gill rakers (excluding rudiments) 18-24 in juveniles <20 cm FL, 11-19 in larger fish; dorsal fin VII (last imbedded in large fish) + I, 29-34; anal rays II (reduced or completely embedded in large fish) + I, 18-22, its base much shorter than (59-71% of ) soft dorsal base; 2nd dorsal and anal fin lobes low (dorsal <15% fork length); no finlets after 2nd dorsal and anal fins; pectoral short (< head length); tail base slender; tail strongly forked; grooves present on dorsal and ventral surface of caudal fin base, but no lateral fleshy keel; lateral line with slight arch over pectoral region; no scutes (hard spiny scales) on lateral line.

Blue grey to olive above, silvery below; usually an oblique dark band from eye to origin of dorsal fin; often an amber stripe from eye along flank; tail fin dark, narrow lighter rear border, lower tip often light or white. Juveniles (up to 20 cm) with 6 dark bars on the body that are irregularly split vertically, & that do not extend onto dorsal and anal fins.

Size: attains 190 cm, 80.6 Kg.

Habitat: pelagic and near bottom; often around dropoffs.

Depth: 3- 385 m; large fish usually 18-72 m.

Indo-central Pacific and both sides of the Atlantic; Nova Scotia to Brazil.",compressed
Carangidae,Seriola rivoliana,Almaco jack,"Seriola rivoliana Valenciennes in Cuvier & Valenciennes, 1833

Almaco jack

Body elongate, fusiform, relatively deep, compressed; upper head & body profile distinctly more convex that lower profile; snout long, pointed; mouth ends under center of pupil, supramaxilla bone above rear of top jawbone very wide at rear, with sharp angle at top corner; gill rakers (excluding rudiments) 24-29 in small fish, 18-25 in large; dorsal fin with VII-VIII spines (front spines may be imbedded in very large fish), then a notch before I, 27-33; anal fin II isolated spines (reduced or embedded in large fish) + I, 18-22, its base much shorter than soft dorsal base; front rays of dorsal and anal fins elongate, in a curved point, 2nd dorsal lobe height 16-25% of fork length; no finlets after 2nd dorsal and anal fins; pectoral short (< head length); tail base slender, with grooves on dorsal and ventral surface of tail fin base, but no lateral fleshy keel; tail strongly forked; lateral line with slight arch over pectoral region; no scutes (hard spiny scales) on lateral line.

Bluish to greenish on upper back, silvery below; oblique dark band from snout to front of dorsal fin; juveniles (up to 20 cm) with oblique dark bar on head and 7 dark bars (each with a narrow, irregular pale vertical centerline) on side and tail base that do not extend onto dorsal and anal fin bases.

Size: attains at least 160 cm, common to 60 cm; at least 60 kg.

Habitat: demersal and pelagic, mainly oceanic.

Depth: 3-340 m.

Circumtropical; Cape Cod to Argentina.",compressed
