TrapID,Surveyors,Length_cm,LengthType_FL_TL,Weight_Grams,sciname,Date_YMD,Exp_or_Cont,design,Deep_Shallow,days_since_last_haul,common,family,N_coord,W_coord,location_exposure,Habitat,depth_m,zero_or_1_fish
E1,"KJ,SC,LA",30.5,TL,540,Seriola rivoliana,2018-05-01,Experimental,Z,Shallow,7,Almaco jack,Carangidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",33.5,TL,950,Balistes vetula,2018-05-01,Experimental,Z,Shallow,7,Queen triggerfish,Balistidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",31,TL,420,Lutjanus synagris,2018-05-01,Experimental,Z,Shallow,7,Lane snapper,Lutjanidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",28,TL,330,Lutjanus synagris,2018-05-01,Experimental,Z,Shallow,7,Lane snapper,Lutjanidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",23.5,TL,160,Pterois volitans,2018-05-01,Experimental,Z,Shallow,7,Red lionfish,Scorpaenidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",31,TL,390,Pterois volitans,2018-05-01,Experimental,Z,Shallow,7,Red lionfish,Scorpaenidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",28,TL,295,Pterois volitans,2018-05-01,Experimental,Z,Shallow,7,Red lionfish,Scorpaenidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",28,TL,235,Pterois volitans,2018-05-01,Experimental,Z,Shallow,7,Red lionfish,Scorpaenidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E1,"KJ,SC,LA",25.5,TL,200,Pterois volitans,2018-05-01,Experimental,Z,Shallow,7,Red lionfish,Scorpaenidae,16.6884183333334,-62.2136783333333,Leeward,Sand,32.9184,1
E10,"KJ,SC,LA",25,FL,310,Sparisoma viride,2018-05-01,Experimental,Z,NA,7,Stoplight parrotfish,Scaridae,16.82343,-62.20507,Leeward,Sand,NA,1
E10,"KJ,SC,LA",37,FL,1005,Sparisoma viride,2018-05-01,Experimental,Z,NA,7,Stoplight parrotfish,Scaridae,16.82343,-62.20507,Leeward,Sand,NA,1
E10,"KJ,SC,LA",25,FL,355,Sparisoma viride,2018-05-01,Experimental,Z,NA,7,Stoplight parrotfish,Scaridae,16.82343,-62.20507,Leeward,Sand,NA,1
E4,"KJ,SC,LA",25,FL,390,Acanthurus chirurgus,2018-05-01,Experimental,Z,Deep,7,Doctorfish,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",31.5,TL,480,Cantherhines macrocerus,2018-05-01,Experimental,Z,Deep,7,Whitespotted filefish,Monacanthidae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",25,FL,350,Acanthurus chirurgus,2018-05-01,Experimental,Z,Deep,7,Doctorfish,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",24.5,FL,350,Acanthurus chirurgus,2018-05-01,Experimental,Z,Deep,7,Doctorfish,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",26.5,FL,365,Acanthurus chirurgus,2018-05-01,Experimental,Z,Deep,7,Doctorfish,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",23.5,FL,340,Acanthurus chirurgus,2018-05-01,Experimental,Z,Deep,7,Doctorfish,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",24,TL,270,Acanthostracion polygonius,2018-05-01,Experimental,Z,Deep,7,Honeycomb cowfish,Ostraciidae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",23,TL,270,Acanthostracion polygonius,2018-05-01,Experimental,Z,Deep,7,Honeycomb cowfish,Ostraciidae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
E4,"KJ,SC,LA",19,FL,205,Acanthurus coeruleus,2018-05-01,Experimental,Z,Deep,7,Blue tang,Acanthuridae,16.7088272222222,-62.2381144444444,Leeward,Sand,38.4048,1
C3,"KJ,SC,LA",30,TL,470,Cantherhines macrocerus,2018-05-01,Control,Z,Shallow,7,Whitespotted filefish,Monacanthidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",25.5,TL,250,Cantherhines macrocerus,2018-05-01,Control,Z,Shallow,7,Whitespotted filefish,Monacanthidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",28,TL,390,Cantherhines macrocerus,2018-05-01,Control,Z,Shallow,7,Whitespotted filefish,Monacanthidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",25.5,TL,267,Cantherhines macrocerus,2018-05-01,Control,Z,Shallow,7,Whitespotted filefish,Monacanthidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",26,FL,405,Anisotremus surinamensis,2018-05-01,Control,Z,Shallow,7,Black margate,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",20,FL,200,Haemulon flavolineatum,2018-05-01,Control,Z,Shallow,7,French grunt,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",15,FL,105,Acanthurus coeruleus,2018-05-01,Control,Z,Shallow,7,Blue tang,Acanthuridae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",25.5,FL,345,Haemulon sciurus,2018-05-01,Control,Z,Shallow,7,Bluestriped grunt,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",18,FL,125,Acanthurus chirurgus,2018-05-01,Control,Z,Shallow,7,Doctorfish,Acanthuridae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",18,FL,145,Acanthurus chirurgus,2018-05-01,Control,Z,Shallow,7,Doctorfish,Acanthuridae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",19.5,FL,165,Haemulon flavolineatum,2018-05-01,Control,Z,Shallow,7,French grunt,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",14,TL,100,Chaetodon striatus,2018-05-01,Control,Z,Shallow,7,Banded butterflyfish,Chaetodontidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",18.5,FL,200,Acanthurus coeruleus,2018-05-01,Control,Z,Shallow,7,Blue tang,Acanthuridae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",21,FL,185,Haemulon flavolineatum,2018-05-01,Control,Z,Shallow,7,French grunt,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
C3,"KJ,SC,LA",20.5,FL,160,Haemulon flavolineatum,2018-05-01,Control,Z,Shallow,7,French grunt,Haemulidae,16.7078833333333,-62.23888,Leeward,Sand,27.1272,1
